"HolderAddress","Balance","PendingBalanceUpdate"
"0x0007538fbf42bc28c657f01929a02192b4dca882","3.076920488","No"
"0x000e594cdafda4c000fd7d06b1431fe8936c22c2","0.777403882","No"
"0x001204b6defa92d19b88bd9c84fea34b6a746e42","7.827440266","No"
"0x0013f818954d921eec6186af1eb24bc52d94dc29","8.472006945","No"
"0x0017ec454de9a56c66944413350c1bf8dfe73a97","2.967006826","No"
"0x00193ff04618e1ca107b3330731bd28c918d5e0a","0.294570577","No"
"0x001a8b6eeb2fc202885ce8df8121c1dd8133b932","4.968653328","No"
"0x001facf3e3d3164ec3764c317e8400d80b97d221","27.184256939","No"
"0x002169c79a63d880c8b391abf1bd1637cad8d257","2.539426865","No"
"0x002fec772b621f9c660bf730d10fd9a947df2863","70.238527942","No"
"0x0031a2d5ea5b69bcb8e191f5f0ae7919e9c9f0db","97.138686344","No"
"0x00364700cab21f2a01ab988acda7c08e2eb38934","1.335982473","No"
"0x0048bb09dda41fee38e1c611cd6b7ab3eab0244f","5.255566734","No"
"0x00490ec0de016ec21286243ff0dd37832e8ef8a6","6.112430348","No"
"0x00492531596baa14d98cf45d071ec35d5af3a26e","0.149612423","No"
"0x00519b408c037a605b1639358a039e2e789ca7c4","30.361052359","No"
"0x0055c23b20a63c8aefcbdb94f8dd277f6b02a4e6","5.52700148","No"
"0x005831ccd8613574731b9c31977c433762aa6141","14.731067685","No"
"0x0059ab2564ef1f3926e9a931e8562a7fc0ff8e0c","50.030003173","No"
"0x005abd31ea9074db863c05cdcf84e7a9044d0cb7","2.539084088","No"
"0x005db3acdeaa5b3b4ea2f831b4609efd47081dbe","5.109575099","No"
"0x006050831ea5b5c6425b263e4399b64009e98d79","1.228949038","No"
"0x0060b173604908e5e2ac1e1c3bfd60bd58ef9626","6.580651478","No"
"0x0070078e38a7844059cb41c6c2632ec776108c06","5.177833588","No"
"0x0070e61fd34d621c6d2e9c3f97a6abe17581fcf6","5.729730903","No"
"0x0076bbdec6b256eb63c1ec7fb8042a37b30a0c30","44.058016619","No"
"0x0077b9887aa26908a64b3dceecba08c04d23f1b8","1.192236865","No"
"0x007dba5d33a24f09a2086c4c1adb7461230dec28","5.573939348","No"
"0x00880cd0a7bef8349e68c4e0a4456a830c850707","34.702685366","No"
"0x0088c6014032faa30fe0ff5fb485a6355c2e7c7d","0.350654536","No"
"0x008a42c26b3c39de05360735244d10d687b23df5","3.087291509","No"
"0x008dacb92bc0b66687cb8cfdc99999e1acd2c493","0.055499172","No"
"0x008f02ecf95b6add99c9af5ef382b85f8ba614d7","5.474730717","No"
"0x0090486191db86e3e2e0c4e539e2be9e8b452603","86.386969279","No"
"0x0091d2021e0bcb7a6328d82492dce5f5166debba","4.927526634","No"
"0x00943fa106f2eb9e712da6d83bd381d8787845f4","11.491231273","No"
"0x00a8bff82173ef7f1b5d8d24d8163ece6908adce","5.972710527","No"
"0x00ac0e7fcfe62032386461f94c5779838b4ede4a","4.642709287","No"
"0x00b15a968c7e28ecaa92f58bf2c3d9f662e5246a","5.971190702","No"
"0x00bc2e59534e3baae54cbada0f3839883128c7e5","5.221184836","No"
