"HolderAddress","Balance","PendingBalanceUpdate"
"0x2cdb5a54d3e680d21268d04e7dd4d0df9a94a4e2","3.996E-06","No"
"0x2dab777539287c16de170631d809f0fb3561fb65","4.435E-06","No"
"0x36e8963fd4ae87e182a40f4a191d0b67474eff39","5.84E-07","No"
"0x384eec1daa1a3bd58430bd5117b5d8658b121983","4.17E-07","No"
"0x3f209b7fa53a6bdae8485d33117facdd3098e97f","0.049657283","No"
"0x3f4286cefde98d094b08ceeaebab1de855d5900e","5.671E-06","No"
"0x41ffafd78beb9872fd1a4f410a203e80fc98ae77","0.147844964","No"
"0x42c15d099ff12c1da86846135716a017ed6f13ad","7.29E-07","No"
"0x43b3807866e3ac8d8a27f3cab4ecdb3511b3435b","0.025047747","No"
"0x448e8eeaa5860f011de52cbff6303360ff1124ea","7.53E-07","No"
"0x4506be7f75a065e5b8e03b3cbf7c2d4aad3cb9f2","0.006706196","No"
"0x466045979096f7a94a186702ab9cbea58fb5cf5f","6.931E-06","No"
"0x46c4128981525aa446e02ffb2ff762f1d6a49170","2E-09","No"
"0x473aa6cb2dfed4af7b95161dc2014d1a8a7ce975","6.81E-07","No"
"0x4a41c44fbba725b8f399efe4e582f5a420563c85","5.2E-07","No"
"0x4a6bf7737b54195bfb72030d8f2bf7cf2b466dc3","12.847308838","No"
"0x4e74d54acf2850279fad161d025e9bd9f346019d","7.928E-06","No"
"0x5224e1ece671882046a4d8060c48c8166358233e","0.042297726","No"
"0x5658d89fa130de44313b93c9f9f799a68d70cb69","0.000794065","No"
"0x584e1f7fa12bc3f0e7a76fdfab24d0ea4c60870e","0.412564299","No"
"0x5b65789ddd893f27ee56746ec57588fd8583c791","0.661634993","No"
"0x62786326aacea90bed5d99a339131fb6d98bb8a2","0.720754068","No"
"0x62dc78a5c83cdfca209423dd96cdbc20547d2552","2.5E-07","No"
"0x656619eff7dc4a85cd8685c4bf82cd825096c708","2E-09","No"
"0x6b1bd8d45e45fa8e93104f00e922563447320797","0.472969556","No"
"0x6c4c19156a321b5ed6e1d38178758ba961d47a0e","0.0435233","No"
"0x6cd8a326fe524244fc323a915b3be564c7c9f6c0","0.033893344","No"
"0x6e24f6e66a6c9c86cf4c5c60b7bce7c73bfa6666","1805.238056145","No"
"0x6fdd02a8e4fb98255271a9dbd0b929ccbdbedc26","0.0193972","No"
"0x70c7a9c9664afcc203b757e600b1819484a46de0","4.72E-07","No"
