"HolderAddress","Balance","PendingBalanceUpdate"
"0x000000000000000000000000000000000000dead","0.037331196","No"
"0x0127f1855a0c5116c4720ef728000d7f003ca015","7.8861E-05","No"
"0x026abf6bac8b9fe3cd37740a06845ea8f51ab807","0.505387831","No"
"0x0294015c802c8457310d3e9471e4a8d3a73ba1aa","0.224048052","No"
"0x030bb8cf8971b4c15ccedbfd6179ea4d51420499","1.6039E-05","No"
"0x033ec355a331606222f27922ae4c756dcdd48e61","2.516E-06","No"
"0x0373bbd16dc5b22f5ba1a5a15ca99f33461a3425","0.02790795","No"
"0x039277f2180cb37f8fce407da63c577c575678b6","0.088037209","No"
"0x03c68951369044d644f09b3f88f2ac9c94c94f17","7.8659E-05","No"
"0x03cd4191fe7db66c96a7453a10631983e443f87a","0.066863793","No"
"0x04042c9588ad69139184e4c7085b4d460ab310ff","0.138814874","No"
"0x0539ecde7543887c758b867f7691989d5510beff","0.000254844","No"
"0x05a781a61684202c5dd2d1e698f188d7097bc994","5.313E-06","No"
"0x062013bcd8eb0844e865519ee52fa7f6ea3af827","0.347156244","No"
"0x06cf5ab6e600753ece50b88df8cc88c96945e92f","0.001122336","No"
"0x0738031dd9329dc4452e20696afcd234f8cf7529","3.1173E-05","No"
"0x076bc6f2a9650b3716f5b3c0ad38241fe8582f35","1.4771E-05","No"
"0x07b6d2a9c42fe047f1d7e900b7c8949615d78668","5.8956E-05","No"
"0x08be5c40bd238aae8f81a1b34ca898a683401483","5.9323E-05","No"
"0x09e19b76527b22731937b90dcf1bd3285db750d8","2.9617E-05","No"
"0x0a7e2c1221d805e8488433291420a62c604ab1ba","1.490532129","No"
"0x0b40a71b2326c7b687d2057f790c73950376a01f","0.060151227","No"
"0x0b521ecb5fca25f108ad210adf48f4f39fb9202c","3.5558E-05","No"
"0x0ba733ae291de851ef0f7aed95ab9941260f53e7","1.2235E-05","No"
"0x0c0f1a11b220fd1d53306f67b9327cdeb31d662b","0.000300395","No"
"0x0cab6b0510ce6bf301011c01c808b4337c8af44d","0.127806115","No"
"0x0cb99b99ec81313fe11680b5340173de4e28bb85","1.365683671","No"
"0x0ce84d876aa0af7b36f2859362c0f8c1abb73c7e","1.063093451","No"
"0x0daa63a913a03f8ae358f69c6afcb78ea76e1e38","0.692225946","No"
"0x0e5cfe40d9238759a789e6572e1f01cf41bcfb43","0.000150238","No"
"0x0f11a6814a36c20d19d0259169807c2b2c95a9b5","8.239E-06","No"
"0x0fbe640422f78f179be15dc56bbee25b102bb748","0.000401947","No"
"0x0feaa9d8eba3f9d220207ed4830a02d58eec928e","2.919E-05","No"
"0x0ff10dfb025b6d4641e28bc02284b8ea9d1952b1","0.002795379","No"
"0x100ba800b6c489f7ba5ecef1b98844499f171e87","1.8979E-05","No"
"0x114b0071cd5bf4362fe151fe25608fe70a538f4c","0.018680246","No"
"0x11c73fda8703482d7bf472f1ede555985f7479b2","5.4231E-05","No"
"0x120a634d360c163f4fb9c78793fdc6d971a41012","0.000167339","No"
"0x121f8f7ab88d3131aa7f01cfbf4b9d6248cdc155","1.812E-05","No"
"0x124c01bcdf1bb8c3cd472c8b306867dc59cb9777","2.4725E-05","No"
"0x12b6bfb6b4605885e55f5f1c5da0cb94c15f6648","6.4653E-05","No"
"0x138100f5921dc28e689cc6ebbe730612a7fbe6f2","1.50171588","No"
"0x13b474411e3946c5bbe9c2d49117d209ec7720f4","1.457297413","No"
"0x143bb3febee962e2f7f52a889956c470136fa7ec","0.031040292","No"
"0x14a9ce0c3c2985c35dbc45c32cc11a9e5ace5783","7.0333E-05","No"
"0x14da8c205d9c7f407fcbc4dec0508b50b8377b17","4.5819E-05","No"
"0x151fa5c671dcdf8b73a28fe33192aeedcda4702f","0.000182697","No"
"0x15379299817058c2109decbfaa6185bb11760f72","0.000107915","No"
"0x155b9bb462ca4d82de82c0254816f20cd25516e9","0.049748631","No"
